2025-03-09 12:55:44,276 [INFO] - Initializing PostgresDBBot...
2025-03-09 12:55:44,368 [INFO] - Connected to Postgres @ localhost:5434/Quant_Trading
2025-03-09 12:55:44,369 [INFO] - Tables verified/created successfully.
2025-03-09 12:55:44,374 [INFO] - DB Bot running, listening to Redis Pub/Sub...
2025-03-09 16:21:00,190 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:20:00
2025-03-09 16:22:59,875 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:22:59,978 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,080 [INFO] - Kline data inserted for ATOMUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,182 [INFO] - Kline data inserted for XRPUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,284 [INFO] - Kline data inserted for BNBUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,386 [INFO] - Kline data inserted for AVAXUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,488 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,590 [INFO] - Kline data inserted for ICPUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,693 [INFO] - Kline data inserted for LINKUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,795 [INFO] - Kline data inserted for NEARUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,897 [INFO] - Kline data inserted for XLMUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:00,999 [INFO] - Kline data inserted for UNIUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,101 [INFO] - Kline data inserted for DOGEUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,203 [INFO] - Kline data inserted for TRXUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,306 [INFO] - Kline data inserted for ADAUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,408 [INFO] - Kline data inserted for LTCUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,510 [INFO] - Kline data inserted for ALGOUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:01,612 [INFO] - Kline data inserted for DOTUSDT, interval=1, time=2025-03-09 05:22:00
2025-03-09 16:23:59,877 [INFO] - Kline data inserted for BTCUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:23:59,978 [INFO] - Kline data inserted for ETHUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,080 [INFO] - Kline data inserted for ATOMUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,183 [INFO] - Kline data inserted for XRPUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,285 [INFO] - Kline data inserted for BNBUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,387 [INFO] - Kline data inserted for AVAXUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,489 [INFO] - Kline data inserted for SOLUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,592 [INFO] - Kline data inserted for ICPUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,694 [INFO] - Kline data inserted for LINKUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,797 [INFO] - Kline data inserted for NEARUSDT, interval=1, time=2025-03-09 05:23:00
2025-03-09 16:24:00,899 [INFO] - Kline data inserted for XLMUSDT, interval=1, time=2025-03-09 05:23:00
